Time (min),pH
180.1,3.84
180.2,3.84
180.3,3.84
180.4,3.84
180.5,3.84
180.6,3.84
180.7,3.84
180.8,3.84
180.9,3.84
181,3.84
181.1,3.84
181.2,3.84
181.3,3.84
181.4,3.84
181.5,3.83
181.6,3.84
181.7,3.84
181.8,3.84
181.9,3.84
182,3.84
182.1,3.83
182.2,3.84
182.3,3.83
182.4,3.83
182.5,3.83
182.6,3.83
182.7,3.83
182.8,3.83
182.9,3.83
183,3.83
183.1,3.83
183.2,3.83
183.3,3.83
183.4,3.83
183.5,3.83
183.6,3.83
183.7,3.83
183.8,3.83
183.9,3.83
184,3.83
184.1,3.83
184.2,3.83
184.3,3.83
184.4,3.83
184.5,3.83
184.6,3.83
184.7,3.83
184.8,3.83
184.9,3.83
185,3.83
185.1,3.83
185.2,3.83
185.3,3.83
185.4,3.83
185.5,3.83
185.6,3.83
185.7,3.83
185.8,3.83
185.9,3.83
186,3.83
186.1,3.83
186.2,3.83
186.3,3.83
186.4,3.83
186.5,3.83
186.6,3.83
186.7,3.83
186.8,3.83
186.9,3.82
187,3.83
187.1,3.83
187.2,3.82
187.3,3.82
187.4,3.82
187.5,3.82
187.6,3.82
187.7,3.82
187.8,3.82
187.9,3.82
188,3.82
188.1,3.82
188.2,3.82
188.3,3.82
188.4,3.82
188.5,3.82
188.6,3.82
188.7,3.82
188.8,3.82
188.9,3.82
189,3.82
189.1,3.82
189.2,3.82
189.3,3.82
189.4,3.82
189.5,3.82
189.6,3.82
189.7,3.82
189.8,3.82
189.9,3.82
190,3.82
190.1,3.82
190.2,3.82
190.3,3.82
190.4,3.82
190.5,3.82
190.6,3.82
190.7,3.82
190.8,3.82
190.9,3.82
191,3.82
191.1,3.82
191.2,3.82
191.3,3.82
191.4,3.82
191.5,3.82
191.6,3.82
191.7,3.82
191.8,3.82
191.9,3.82
192,3.82
192.1,3.82
192.2,3.82
192.3,3.82
192.4,3.82
192.5,3.82
192.6,3.82
192.7,3.82
192.8,3.82
192.9,3.82
193,3.82
193.1,3.82
193.2,3.82
193.3,3.82
193.4,3.82
193.5,3.82
193.6,3.81
193.7,3.81
193.8,3.81
193.9,3.81
194,3.81
194.1,3.81
194.2,3.81
194.3,3.81
194.4,3.81
194.5,3.81
194.6,3.81
194.7,3.81
194.8,3.81
194.9,3.81
195,3.81
195.1,3.81
195.2,3.81
195.3,3.81
195.4,3.81
195.5,3.81
195.6,3.81
195.7,3.81
195.8,3.81
195.9,3.81
196,3.81
196.1,3.81
196.2,3.81
196.3,3.81
196.4,3.81
196.5,3.81
196.6,3.81
196.7,3.81
196.8,3.81
196.9,3.81
197,3.81
197.1,3.81
197.2,3.81
197.3,3.81
197.4,3.81
197.5,3.81
197.6,3.81
197.7,3.81
197.8,3.81
197.9,3.81
198,3.81
198.1,3.81
198.2,3.81
198.3,3.81
198.4,3.81
198.5,3.81
198.6,3.81
198.7,3.81
198.8,3.81
198.9,3.81
199,3.81
199.1,3.81
199.2,3.81
199.3,3.81
199.4,3.81
199.5,3.81
199.6,3.81
199.7,3.81
199.8,3.81
199.9,3.81
200,3.81
200.1,3.81
200.2,3.81
200.3,3.81
200.4,3.81
200.5,3.81
200.6,3.81
200.7,3.81
200.8,3.81
200.9,3.8
201,3.8
201.1,3.81
201.2,3.81
201.3,3.8
201.4,3.8
201.5,3.8
201.6,3.8
201.7,3.8
201.8,3.8
201.9,3.8
202,3.8
202.1,3.8
202.2,3.8
202.3,3.8
202.4,3.8
202.5,3.8
202.6,3.8
202.7,3.8
202.8,3.8
202.9,3.8
203,3.8
203.1,3.8
203.2,3.8
203.3,3.8
203.4,3.8
203.5,3.8
203.6,3.8
203.7,3.8
203.8,3.8
203.9,3.8
204,3.8
204.1,3.8
204.2,3.8
204.3,3.8
204.4,3.8
204.5,3.8
204.6,3.8
204.7,3.8
204.8,3.8
204.9,3.8
205,3.8
205.1,3.8
205.2,3.8
205.3,3.79
205.4,3.8
205.5,3.8
205.6,3.8
205.7,3.8
205.8,3.8
205.9,3.79
206,3.79
206.1,3.79
206.2,3.79
206.3,3.79
206.4,3.79
206.5,3.79
206.6,3.79
206.7,3.79
206.8,3.79
206.9,3.79
207,3.79
207.1,3.79
207.2,3.79
207.3,3.79
207.4,3.79
207.5,3.79
207.6,3.79
207.7,3.79
207.8,3.79
207.9,3.79
208,3.79
208.1,3.79
208.2,3.79
208.3,3.79
208.4,3.79
208.5,3.79
208.6,3.79
208.7,3.79
208.8,3.79
208.9,3.79
209,3.79
209.1,3.79
209.2,3.79
209.3,3.79
209.4,3.79
209.5,3.79
209.6,3.79
209.7,3.79
209.8,3.79
209.9,3.79
210,3.79
210.1,3.79
210.2,3.79
210.3,3.79
210.4,3.79
210.5,3.79
210.6,3.79
210.7,3.79
210.8,3.79
210.9,3.79
211,3.79
211.1,3.79
211.2,3.79
211.3,3.79
211.4,3.79
211.5,3.79
211.6,3.79
211.7,3.79
211.8,3.79
211.9,3.79
212,3.79
212.1,3.79
212.2,3.79
212.3,3.79
212.4,3.79
212.5,3.79
212.6,3.79
212.7,3.79
212.8,3.79
212.9,3.79
213,3.79
213.1,3.79
213.2,3.78
213.3,3.79
213.4,3.79
213.5,3.78
213.6,3.79
213.7,3.79
213.8,3.78
213.9,3.79
214,3.78
214.1,3.78
214.2,3.78
214.3,3.78
214.4,3.78
214.5,3.78
214.6,3.78
214.7,3.78
214.8,3.78
214.9,3.78
215,3.78
215.1,3.78
215.2,3.78
215.3,3.78
215.4,3.78
215.5,3.78
215.6,3.78
215.7,3.78
215.8,3.78
215.9,3.78
216,3.78
216.1,3.78
216.2,3.78
216.3,3.78
216.4,3.78
216.5,3.78
216.6,3.78
216.7,3.78
216.8,3.78
216.9,3.78
217,3.78
217.1,3.78
217.2,3.78
217.3,3.78
217.4,3.78
217.5,3.78
217.6,3.78
217.7,3.78
217.8,3.78
217.9,3.78
218,3.78
218.1,3.78
218.2,3.78
218.3,3.78
218.4,3.78
218.5,3.78
218.6,3.78
218.7,3.78
218.8,3.78
218.9,3.78
219,3.78
219.1,3.78
219.2,3.78
219.3,3.78
219.4,3.78
219.5,3.77
219.6,3.78
219.7,3.78
219.8,3.78
219.9,3.78
220,3.77
220.1,3.77
220.2,3.78
220.3,3.77
220.4,3.77
220.5,3.77
220.6,3.77
220.7,3.77
220.8,3.77
220.9,3.77
221,3.77
221.1,3.77
221.2,3.77
221.3,3.77
221.4,3.77
221.5,3.77
221.6,3.77
221.7,3.77
221.8,3.77
221.9,3.77
222,3.77
222.1,3.77
222.2,3.77
222.3,3.77
222.4,3.77
222.5,3.77
222.6,3.77
222.7,3.77
222.8,3.77
222.9,3.77
223,3.77
223.1,3.77
223.2,3.77
223.3,3.77
223.4,3.77
223.5,3.77
223.6,3.77
223.7,3.77
223.8,3.77
223.9,3.77
224,3.77
224.1,3.77
224.2,3.77
224.3,3.77
224.4,3.77
224.5,3.77
224.6,3.77
224.7,3.77
224.8,3.77
224.9,3.77
225,3.77
225.1,3.77
225.2,3.77
225.3,3.77
225.4,3.77
225.5,3.77
225.6,3.77
225.7,3.77
225.8,3.77
225.9,3.77
226,3.77
226.1,3.77
226.2,3.77
226.3,3.77
226.4,3.77
226.5,3.77
226.6,3.77
226.7,3.77
226.8,3.77
226.9,3.77
227,3.77
227.1,3.77
227.2,3.77
227.3,3.77
227.4,3.77
227.5,3.77
227.6,3.77
227.7,3.77
227.8,3.77
227.9,3.77
228,3.77
228.1,3.77
228.2,3.76
228.3,3.77
228.4,3.76
228.5,3.76
228.6,3.76
228.7,3.76
228.8,3.76
228.9,3.76
229,3.76
229.1,3.76
229.2,3.76
229.3,3.76
229.4,3.76
229.5,3.76
229.6,3.76
229.7,3.76
229.8,3.76
229.9,3.76
230,3.76
230.1,3.76
230.2,3.76
230.3,3.76
230.4,3.76
230.5,3.76
230.6,3.76
230.7,3.76
230.8,3.76
230.9,3.76
231,3.76
231.1,3.76
231.2,3.76
231.3,3.76
231.4,3.76
231.5,3.76
231.6,3.76
231.7,3.76
231.8,3.76
231.9,3.76
232,3.76
232.1,3.76
232.2,3.76
232.3,3.76
232.4,3.76
232.5,3.76
232.6,3.76
232.7,3.76
232.8,3.76
232.9,3.76
233,3.76
233.1,3.76
233.2,3.76
233.3,3.76
233.4,3.76
233.5,3.76
233.6,3.76
233.7,3.76
233.8,3.76
233.9,3.76
234,3.76
234.1,3.76
234.2,3.76
234.3,3.76
234.4,3.76
234.5,3.76
234.6,3.76
234.7,3.76
234.8,3.76
234.9,3.76
235,3.76
235.1,3.75
235.2,3.76
235.3,3.76
235.4,3.76
235.5,3.76
235.6,3.75
235.7,3.75
235.8,3.75
235.9,3.75
236,3.75
236.1,3.76
236.2,3.75
236.3,3.75
236.4,3.75
236.5,3.75
236.6,3.75
236.7,3.75
236.8,3.75
236.9,3.75
237,3.75
237.1,3.75
237.2,3.75
237.3,3.75
237.4,3.75
237.5,3.75
237.6,3.75
237.7,3.75
237.8,3.75
237.9,3.75
238,3.75
238.1,3.75
238.2,3.75
238.3,3.75
238.4,3.75
238.5,3.75
238.6,3.75
238.7,3.75
238.8,3.75
238.9,3.75
239,3.75
239.1,3.75
239.2,3.75
239.3,3.75
239.4,3.75
239.5,3.75
239.6,3.75
239.7,3.75
239.8,3.75
239.9,3.75
240,3.75
240.1,3.75
240.2,3.75
240.3,3.75
240.4,3.75
240.5,3.75
240.6,3.75
240.7,3.75
240.8,3.75
240.9,3.75
241,3.75
241.1,3.75
241.2,3.75
241.3,3.75
241.4,3.75
241.5,3.75
241.6,3.75
241.7,3.75
241.8,3.75
241.9,3.75
242,3.75
242.1,3.75
242.2,3.75
242.3,3.75
242.4,3.75
242.5,3.75
242.6,3.75
242.7,3.75
242.8,3.75
242.9,3.75
243,3.75
243.1,3.75
243.2,3.75
243.3,3.75
243.4,3.75
243.5,3.75
243.6,3.75
243.7,3.75
243.8,3.75
243.9,3.75
244,3.75
244.1,3.75
244.2,3.75
244.3,3.75
244.4,3.75
244.5,3.75
244.6,3.75
244.7,3.75
244.8,3.75
244.9,3.75
245,3.75
245.1,3.75
245.2,3.75
245.3,3.74
245.4,3.75
245.5,3.75
245.6,3.74
245.7,3.74
245.8,3.74
245.9,3.74
246,3.74
246.1,3.75
246.2,3.74
246.3,3.74
246.4,3.74
246.5,3.74
246.6,3.74
246.7,3.74
246.8,3.74
246.9,3.74
247,3.74
247.1,3.74
247.2,3.74
247.3,3.74
247.4,3.74
247.5,3.74
247.6,3.74
247.7,3.74
247.8,3.74
247.9,3.74
248,3.74
248.1,3.74
248.2,3.74
248.3,3.74
248.4,3.74
248.5,3.74
248.6,3.74
248.7,3.74
248.8,3.74
248.9,3.74
249,3.74
249.1,3.74
249.2,3.74
249.3,3.74
249.4,3.74
249.5,3.74
249.6,3.74
249.7,3.74
249.8,3.74
249.9,3.74
250,3.74
,
1200,3.57
