q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.13760862,0.15496777,0.15741289,0.15535319,0.15652746,0.15201642,0.15778444,0.1539672,0.1521162,0.15485523,0.15309687
0.14039276,0.15219517,0.15297952,0.15437738,0.15870527,0.15100133,0.15874938,0.15393992,0.15009096,0.15229901,0.15488239
0.14348427,0.15593587,0.1559888,0.15442547,0.15375951,0.15184023,0.1548555,0.15468458,0.15407435,0.15380155,0.15224477
0.14630993,0.15293462,0.15458914,0.15320708,0.15555101,0.1531368,0.1553618,0.151459,0.15201058,0.15127306,0.15302836
0.14950816,0.15344085,0.15235467,0.1506656,0.1535666,0.15386972,0.15964833,0.15385022,0.1530477,0.15512881,0.15469454
0.15254303,0.15603671,0.15246891,0.15749844,0.15357658,0.15616544,0.15892077,0.15356134,0.15142777,0.15577791,0.1568332
0.15567635,0.15320721,0.15169022,0.15123266,0.15747705,0.15136427,0.15397748,0.14943747,0.15234572,0.1516976,0.15450942
0.15913871,0.15303522,0.15315785,0.1556233,0.15830406,0.15366745,0.15684167,0.154395,0.15180384,0.15482594,0.15394077
0.16228163,0.1552504,0.15158314,0.15394294,0.15533532,0.14944409,0.15511696,0.1524417,0.15288211,0.1531273,0.15736512
0.16570403,0.15094928,0.1503885,0.15321778,0.15383289,0.1545431,0.15358409,0.15133741,0.15059773,0.15459007,0.15207129
0.16913237,0.15098011,0.15454659,0.15399559,0.15718272,0.15432921,0.15648144,0.15286776,0.15745141,0.15814192,0.15525192
0.17250436,0.15161879,0.15061293,0.15322952,0.15440084,0.15257049,0.15625428,0.15157915,0.15462523,0.15219722,0.15306322
0.17621264,0.15206988,0.15464022,0.15257516,0.15491548,0.15444318,0.15536848,0.15059272,0.15364779,0.15343046,0.15489815
0.17975239,0.15383842,0.15277211,0.15432346,0.15385084,0.15552688,0.15378649,0.14775585,0.15123965,0.15536569,0.15326977
0.18330199,0.15427444,0.15467358,0.15246897,0.15708862,0.15146086,0.15735711,0.15304527,0.15319792,0.15211567,0.15208345
0.18720883,0.15375719,0.15445946,0.15099521,0.15502385,0.15221091,0.15739883,0.15187329,0.15214248,0.15130815,0.15372927
0.19105745,0.15346976,0.15504971,0.1516431,0.15453816,0.150882,0.15634882,0.15266971,0.15366793,0.15340946,0.1542411
0.19479972,0.151975,0.15365998,0.15133988,0.15582397,0.15065437,0.15560757,0.15129237,0.14930315,0.15344664,0.15475269
0.19880752,0.15179379,0.15235379,0.15125008,0.15307893,0.15245925,0.15413878,0.15126172,0.15185823,0.14973014,0.15099041
0.20288866,0.15293343,0.1523177,0.15136552,0.15595075,0.15093034,0.15279065,0.15045212,0.15014081,0.15594719,0.15367602
0.20691297,0.15212838,0.15134942,0.15046081,0.1512768,0.15313935,0.15468746,0.15063889,0.1534591,0.15212017,0.15363333
0.21094295,0.15227385,0.15122185,0.15352275,0.15488213,0.15231988,0.15469035,0.15198461,0.15028224,0.15547667,0.15195847
0.21525846,0.15165367,0.15173611,0.15287162,0.15343022,0.15012216,0.15506773,0.15146192,0.15024444,0.15170488,0.15295733
