q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.02932927,0.18768137,0.19462737,0.21200051,0.2145775,0.22331301,0.21787859,0.21376047,0.20975275,0.2151184,0.21503262,0.2090888,0.2270455,0.23915633,0.21420717,0.22284261,0.2282898,0.23540591,0.23520669,0.24011927,0.235085,0.23842847,0.25045534,0.23329015,0.23785584,0.2362696,0.23819793,0.24862577,0.24968196,0.26220804,0.27114118,0.26805754,0.2548732,0.26013112,0.26613909,0.26430207,0.26583932,0.26683205,0.283232,0.28009654,0.28943511,0.29548517,0.2970132,0.30471527,0.31134176,0.31855848,0.32022714,0.32760031
0.03003479,0.18312226,0.18522744,0.18235489,0.19682969,0.18916348,0.18725381,0.19013923,0.18276904,0.19070847,0.19632222,0.19912922,0.20453524,0.20323407,0.20489794,0.19962446,0.1992869,0.20908385,0.20565177,0.20070039,0.21779236,0.22424077,0.22199029,0.22691605,0.22670405,0.24180615,0.22145905,0.2346894,0.23434572,0.23669494,0.23918627,0.24790374,0.24129539,0.25862226,0.25490479,0.2324394,0.25760927,0.26467962,0.26389443,0.26796045,0.26985918,0.29688969,0.26836018,0.28796142,0.29514584,0.28675261,0.29278436,0.31464689
0.03072996,0.16862281,0.17074319,0.1858363,0.18751262,0.17785001,0.1881188,0.18381108,0.19081428,0.20147605,0.18254468,0.19017394,0.2001235,0.19237129,0.20393095,0.19624181,0.18561983,0.20478572,0.19768038,0.19504491,0.20195118,0.21362393,0.2000904,0.20939106,0.19820419,0.21597235,0.21835786,0.22337849,0.23455711,0.21657831,0.22590803,0.22798571,0.22143521,0.23229605,0.22483151,0.24167911,0.24145414,0.2573993,0.25721363,0.25945138,0.26549909,0.26911502,0.27231608,0.27429797,0.27960691,0.28837112,0.29201882,0.26741425
0.03142813,0.1674481,0.16076503,0.18023959,0.18930057,0.1798111,0.17259709,0.16011645,0.17397977,0.17937714,0.17878197,0.17654707,0.17870357,0.18693463,0.18768303,0.18166075,0.19203091,0.19500997,0.18425176,0.18434074,0.19031749,0.20572652,0.20155515,0.20346484,0.18625334,0.20419547,0.21599981,0.20613178,0.2205113,0.22320662,0.21617111,0.21848221,0.21908312,0.21444155,0.23277819,0.21929661,0.23606193,0.22251717,0.23756548,0.25708528,0.24355537,0.25033356,0.2499362,0.27631269,0.2626486,0.26835721,0.28036653,0.29602931
0.0321637,0.15297585,0.16611419,0.17978371,0.18343848,0.18225405,0.17785522,0.15590957,0.17109523,0.17480251,0.1728598,0.17790351,0.1800681,0.16610819,0.16917935,0.17787092,0.17548566,0.17523166,0.18379243,0.17979366,0.17493255,0.19863278,0.19455977,0.18711121,0.18523896,0.18710619,0.18538261,0.19782205,0.19569671,0.2127923,0.20483001,0.21397677,0.21333386,0.22218825,0.21969,0.2110246,0.22208757,0.22675637,0.23189538,0.23635312,0.23792427,0.24555487,0.25434738,0.25161788,0.25515301,0.2569303,0.26194652,0.25198548
0.03290714,0.14974685,0.15441005,0.15798734,0.16458222,0.18551119,0.1545598,0.14585194,0.14763645,0.15400855,0.1653364,0.1578269,0.17142737,0.148297,0.1707233,0.16116824,0.1598688,0.17662576,0.18625706,0.16008444,0.16930698,0.17569362,0.15565476,0.17983819,0.17465997,0.1868318,0.18757704,0.18841373,0.19001194,0.19661595,0.2008324,0.1970571,0.19530792,0.2010192,0.20358827,0.18623247,0.19869969,0.2249753,0.22272069,0.22797471,0.21213786,0.2265564,0.23177164,0.22980471,0.2521511,0.25341972,0.26451197,0.24803848
0.03365084,0.15081999,0.15623807,0.15669862,0.16659986,0.15657398,0.14479803,0.15019036,0.14806092,0.15715192,0.14787624,0.14163974,0.15729797,0.15403517,0.14586159,0.15686824,0.16110522,0.16799359,0.15619876,0.1538239,0.1645008,0.16781898,0.17272969,0.1654527,0.17689021,0.16727255,0.18076607,0.1679048,0.16842007,0.19167823,0.18183378,0.18451607,0.19291948,0.18095812,0.20155485,0.19042391,0.20410813,0.21017787,0.2042255,0.22346962,0.21682069,0.22527975,0.22422967,0.22735218,0.21193158,0.23344336,0.22964851,0.24439419
0.03440914,0.13287344,0.13048974,0.1417341,0.15357166,0.1431841,0.143551,0.14886051,0.14023714,0.14562817,0.13236684,0.11920051,0.14092266,0.13569849,0.14816042,0.13415338,0.15058429,0.16460219,0.15292828,0.16298475,0.13348883,0.14851786,0.15829543,0.15623237,0.14761275,0.146441,0.14607297,0.16771028,0.15174604,0.15937198,0.17082574,0.16500253,0.17417338,0.17096232,0.18286012,0.18527967,0.18177978,0.17554748,0.19193521,0.214367,0.19707174,0.20572608,0.20354076,0.19936896,0.20123281,0.22143388,0.23343261,0.21663399
0.03518376,0.13523826,0.12605945,0.15295307,0.15390532,0.14095716,0.1309313,0.12299036,0.11225368,0.13345338,0.11489656,0.14329568,0.14033441,0.15442658,0.13171094,0.11783764,0.13883561,0.13766652,0.12684902,0.12688078,0.1284302,0.14808236,0.13897379,0.15190848,0.15207716,0.15490352,0.15020294,0.16206201,0.16365984,0.16249505,0.16857372,0.17039753,0.15282548,0.16812063,0.16761096,0.15712488,0.16950327,0.19149903,0.18696706,0.20516295,0.19597122,0.2063443,0.20241206,0.18822392,0.21601159,0.19319518,0.19289958,0.24714146
0.03597459,0.13309969,0.13497105,0.12359647,0.1422896,0.12830325,0.11357433,0.12996472,0.11838522,0.13494109,0.12369973,0.1133592,0.13086733,0.11384891,0.13419041,0.11843487,0.14338086,0.13340723,0.14599683,0.12303417,0.1385043,0.14041743,0.14440524,0.14659552,0.14463156,0.1360227,0.1386706,0.14798626,0.15232247,0.15491628,0.13774471,0.14833825,0.1485387,0.16968181,0.17536172,0.16405092,0.16607777,0.16997871,0.18909521,0.19472736,0.17276837,0.18964271,0.18248617,0.19382353,0.1914125,0.20569789,0.21092379,0.20195468
