q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.02627318,0.00771805,0.00777477,0.00793049,0.00811317,0.0081402,0.00814372,0.0081923,0.00804433,0.00810455,0.00813432,0.00813021,0.0081494,0.00824831,0.00832147,0.00823344,0.00822939,0.0082764,0.00838145,0.00854833,0.00824518,0.00835157,0.00826727,0.00842553,0.00835782,0.00834122,0.00841999,0.00847955,0.00834288,0.00850928,0.00845562,0.00841145,0.0084534,0.00868675,0.00866933,0.00848101,0.00857742,0.0086165,0.00867094,0.00878553,0.00877912,0.00886631,0.00880678,0.00894264,0.00895376,0.0090199,0.00907418,0.01847626
0.02690443,0.00729081,0.00738218,0.00753373,0.00781461,0.00773881,0.00766839,0.00771077,0.00770694,0.00772386,0.00767791,0.00761287,0.00787806,0.00798528,0.00781461,0.0078812,0.00789966,0.00791203,0.00794896,0.00804312,0.00797304,0.00802136,0.007899,0.00804463,0.00802459,0.00804291,0.00794312,0.00806427,0.00796542,0.00816206,0.00828377,0.00809215,0.00812405,0.00815191,0.00815059,0.00819092,0.0082187,0.00832015,0.00826444,0.00836801,0.00828286,0.00832668,0.00831147,0.00841331,0.00848877,0.00847163,0.00861578,0.01864464
0.02756025,0.00693672,0.00706218,0.00728115,0.0072631,0.00742756,0.00733645,0.00733454,0.00724194,0.00747407,0.00732312,0.00721508,0.00735669,0.00749023,0.00747062,0.0074592,0.00742305,0.0076413,0.00755982,0.00749389,0.00751225,0.00754449,0.00751344,0.00760959,0.0075395,0.00750095,0.00767434,0.00766349,0.00764717,0.00778814,0.00776526,0.00767257,0.00760842,0.00770664,0.00778772,0.00775042,0.00778225,0.00795021,0.007907,0.00790356,0.00790139,0.00795599,0.00798858,0.00810688,0.00816526,0.00798416,0.00829714,0.01735493
0.0282151,0.00703979,0.00704939,0.0072392,0.00731902,0.00735863,0.00732475,0.00728237,0.00727249,0.00741047,0.00741224,0.00732086,0.0074001,0.00742106,0.0074053,0.00750288,0.00746772,0.00751045,0.00755484,0.00747302,0.00754615,0.0075423,0.0076003,0.00771563,0.00756254,0.00753542,0.00759761,0.00772782,0.00752335,0.0077062,0.00770865,0.00768678,0.0076438,0.00766286,0.00779455,0.00773199,0.00791768,0.00788998,0.0078204,0.00800444,0.00809714,0.00813704,0.00802764,0.00801766,0.00816132,0.00811919,0.00829289,0.01694543
0.02888519,0.00724602,0.00722168,0.00737594,0.00744695,0.00735959,0.00744627,0.00740988,0.00733931,0.00752302,0.0074492,0.00743333,0.00750901,0.00752542,0.00752494,0.00762334,0.0076003,0.00766117,0.00760231,0.00767581,0.00764401,0.00771102,0.00772423,0.00774837,0.00774976,0.00771071,0.00780498,0.00781909,0.00763019,0.00789299,0.00789991,0.00781456,0.00773909,0.00783046,0.00797944,0.00793438,0.00804196,0.00800653,0.008097,0.00825712,0.00811572,0.00808781,0.0082322,0.00815598,0.00835635,0.00835001,0.00841464,0.01731743
0.02955448,0.00704815,0.00710877,0.0072666,0.00727804,0.00737104,0.00730054,0.00728548,0.00722535,0.00729293,0.00727259,0.00719932,0.00739447,0.00750808,0.00729515,0.00735472,0.00737768,0.00748035,0.00747725,0.00753773,0.0074586,0.00749143,0.00758838,0.0074594,0.00748693,0.00749018,0.0074978,0.00760739,0.00757354,0.00772474,0.0077796,0.00775737,0.00763706,0.00770368,0.00775218,0.00770205,0.00775637,0.00775574,0.00787873,0.00788548,0.00793048,0.00797914,0.00798475,0.00804839,0.00811012,0.00815908,0.00818365,0.01698966
0.03024468,0.0076195,0.00763522,0.00760314,0.00774,0.00767739,0.00763521,0.00768595,0.00758734,0.00768751,0.00772577,0.00773387,0.00782264,0.00781443,0.00784372,0.00776948,0.00773737,0.00788,0.00784626,0.00781218,0.00794587,0.00801325,0.00798522,0.00805385,0.00803967,0.00820402,0.00799556,0.00814583,0.00809318,0.0081637,0.00816265,0.00825122,0.00818148,0.00836858,0.00832791,0.00807891,0.00836291,0.00841816,0.00839738,0.00847084,0.00844987,0.00869637,0.00842891,0.00860789,0.00868376,0.0085957,0.00866369,0.01831845
0.03095335,0.00759013,0.0076058,0.00776512,0.00777223,0.00768446,0.00776917,0.00774657,0.00779597,0.00792729,0.00770622,0.00776976,0.00790758,0.0078337,0.00796366,0.00786435,0.00772562,0.00796749,0.00789527,0.00788392,0.00791965,0.00804235,0.00789622,0.00801502,0.00788646,0.00808768,0.00810185,0.00817288,0.00823416,0.0081004,0.00816935,0.00819899,0.0081229,0.00825448,0.00817886,0.00831026,0.00835,0.0084955,0.0084774,0.00853502,0.00855631,0.00859072,0.00861427,0.00863148,0.00869253,0.00876244,0.00880849,0.01761625
0.03167828,0.00793505,0.00785026,0.00806886,0.00815744,0.00806757,0.00796482,0.0078414,0.00797504,0.00805725,0.00802891,0.00798751,0.00804176,0.0081416,0.0081587,0.00807374,0.00815876,0.00823819,0.00811451,0.00813922,0.00816564,0.00833589,0.0082818,0.00832645,0.0081239,0.00833867,0.00845396,0.00837085,0.00847277,0.00854718,0.00844922,0.0084807,0.00848161,0.00845258,0.00864377,0.00846586,0.00868434,0.00853372,0.00867717,0.00891315,0.00873396,0.00880267,0.00879082,0.00905618,0.00893278,0.0089743,0.00910517,0.01910061
0.0324091,0.00820263,0.00835339,0.00851148,0.00854288,0.0085464,0.00846998,0.0082324,0.00838938,0.00845256,0.00840562,0.0084439,0.00850826,0.0083481,0.00839819,0.00848006,0.00842219,0.00846552,0.00856624,0.00853649,0.00844317,0.0087193,0.00866393,0.00860132,0.00856624,0.00860613,0.00857227,0.00874062,0.00866483,0.00890829,0.00879172,0.00890055,0.00889009,0.00900861,0.00897954,0.00884594,0.00901316,0.00905624,0.00909639,0.0091806,0.00916049,0.00924372,0.00932552,0.00929873,0.00934544,0.00935259,0.00941782,0.01898441
0.03315314,0.00873881,0.00879453,0.00883648,0.00891111,0.00919642,0.00876926,0.00868088,0.00867981,0.00878626,0.00890872,0.00878945,0.00900455,0.00870882,0.00901786,0.00887056,0.00882219,0.00908529,0.00920653,0.00889014,0.0089702,0.00905499,0.00878883,0.0091259,0.00904286,0.0092212,0.00922137,0.0092527,0.0092144,0.00935354,0.00937477,0.00933439,0.00930762,0.00940495,0.00943091,0.00917136,0.00937361,0.00968511,0.00964437,0.00974789,0.00951685,0.00968857,0.00973843,0.00971873,0.00999498,0.0099963,0.01013571,0.02038744
0.03391944,0.00921497,0.00928318,0.00928516,0.00940489,0.00928908,0.00909828,0.00919714,0.00914234,0.00929023,0.00913755,0.00902864,0.00928306,0.0092432,0.00914469,0.00927471,0.00930489,0.00944729,0.00928609,0.00926748,0.00937511,0.00942087,0.00948034,0.0094098,0.00954832,0.00944203,0.00961467,0.00945941,0.00941162,0.0097764,0.00961824,0.00966049,0.00976367,0.00962816,0.00990327,0.00971325,0.00994009,0.01000603,0.00991484,0.01020271,0.01007364,0.01017714,0.01015706,0.01019658,0.01001105,0.01026893,0.01023928,0.02130596
0.03469539,0.00962679,0.00958054,0.00974827,0.00990864,0.00977018,0.00974933,0.00986084,0.00969283,0.00980318,0.00957847,0.00935978,0.00972337,0.00965428,0.00985338,0.00962006,0.00983585,0.01009091,0.00991664,0.01008357,0.00960821,0.00983307,0.00996577,0.00996635,0.00981865,0.00982415,0.00980753,0.01014764,0.00986266,0.01002076,0.01015992,0.01008184,0.01020687,0.0101869,0.010355,0.01034722,0.0103455,0.01024233,0.01045785,0.01080358,0.0105232,0.01064499,0.01060508,0.01054577,0.01058619,0.01084175,0.01101163,0.0219061
