q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.10666829,0.00275971,0.00277649,0.00277296,0.00281127,0.00279305,0.00281867,0.00277985,0.00278559,0.00278177,0.0027903
0.10886964,0.00273906,0.0027515,0.00273008,0.0027686,0.00274264,0.0027607,0.00274701,0.0027306,0.00275278,0.00274506
0.11146922,0.00266016,0.00266485,0.00266849,0.00268986,0.0026725,0.00269404,0.00266502,0.00268702,0.00267763,0.00266999
0.11377245,0.00266551,0.00265652,0.00266645,0.00266706,0.0026648,0.00269021,0.00265256,0.0026541,0.00266609,0.00268181
0.11644029,0.00264508,0.00264586,0.00264039,0.00266759,0.00264429,0.00267077,0.00262393,0.00264268,0.00264108,0.0026454
0.11881245,0.00241504,0.00241138,0.00241055,0.00243778,0.00239193,0.00242589,0.00240746,0.00241981,0.00243206,0.00242773
0.12151997,0.00260229,0.00260757,0.00260586,0.00261805,0.00260428,0.00263364,0.00259404,0.00260311,0.00259429,0.00262015
0.12405541,0.00222459,0.00223033,0.00223845,0.00224503,0.0022157,0.00225486,0.00221447,0.00222563,0.00223126,0.00223454
0.12696533,0.00254889,0.00253702,0.00253724,0.00256327,0.00254614,0.00258028,0.00253073,0.00254854,0.00256093,0.00255874
0.12946769,0.00218346,0.00218324,0.00218139,0.00220384,0.0021765,0.00221705,0.00218692,0.00217719,0.00218616,0.0021811
0.13241553,0.00226949,0.00226436,0.00227826,0.00227904,0.00228445,0.00229624,0.00226554,0.00228748,0.00229604,0.00227453
0.13514807,0.00215366,0.00214269,0.0021543,0.0021718,0.00215551,0.00216584,0.00214755,0.002153,0.00215328,0.00215129
0.1381549,0.00214415,0.00215421,0.00214523,0.00215915,0.00213363,0.00216547,0.00213892,0.00213537,0.00214823,0.00214375
0.14093849,0.00209547,0.00209915,0.00210281,0.00212783,0.00209142,0.00212906,0.00209977,0.00208918,0.00209973,0.00211164
0.14399957,0.00207037,0.00207157,0.00206465,0.00207163,0.00205605,0.00207686,0.00206409,0.00206512,0.00206729,0.00206373
0.14690772,0.00206089,0.00206773,0.00206124,0.00207869,0.00206141,0.00207949,0.00205409,0.00205882,0.00205947,0.00206745
0.14998618,0.0019147,0.00191224,0.00190539,0.00192349,0.0019161,0.00194443,0.00191456,0.001915,0.00192427,0.00192498
0.15327623,0.00203092,0.00201959,0.00203571,0.00203131,0.0020317,0.00205164,0.0020208,0.00201637,0.00203494,0.00204035
0.156357,0.00182867,0.0018252,0.00182241,0.00184964,0.00182313,0.00184018,0.0018159,0.00182727,0.00182785,0.0018386
0.15977053,0.00183935,0.00184066,0.0018471,0.00186422,0.0018413,0.00186076,0.00184224,0.00183657,0.00184895,0.00184778
0.1629333,0.00185975,0.00184922,0.00185553,0.00186804,0.00184196,0.00186877,0.00184975,0.00185374,0.00185754,0.00187222
0.16625779,0.00174119,0.00174026,0.0017476,0.00175761,0.00175181,0.00175795,0.00174075,0.00174122,0.00175572,0.00174987
0.16984961,0.00175174,0.00176338,0.00176051,0.00177845,0.00176167,0.0017776,0.00175612,0.00177259,0.00177698,0.0017702
0.17320573,0.00169401,0.00169184,0.00169811,0.00170912,0.00169669,0.00171584,0.00169246,0.00170361,0.00169923,0.00170312
0.17683768,0.0016346,0.00164272,0.00163553,0.00164929,0.00164109,0.00165179,0.00162892,0.00163978,0.00164148,0.00164764
0.18056641,0.00168776,0.00168583,0.0016892,0.00169546,0.00169302,0.00169648,0.00166862,0.0016815,0.00169589,0.00169174
0.18406485,0.00159041,0.00159228,0.00158531,0.00160488,0.00158313,0.00160666,0.00158564,0.00158842,0.0015878,0.0015896
0.18784592,0.00154298,0.00154575,0.00153538,0.00155336,0.00153888,0.00156053,0.00153694,0.00153972,0.00153974,0.00154752
0.19181261,0.00154915,0.00155413,0.00154366,0.00155894,0.00154204,0.00156453,0.00154581,0.00155055,0.00155224,0.00155617
0.19560274,0.00151681,0.00152173,0.0015148,0.00153319,0.00151323,0.00153374,0.00151377,0.00151086,0.00152374,0.00152872
0.19948646,0.00145938,0.00146151,0.00145792,0.0014694,0.00146085,0.00147257,0.00145682,0.00146072,0.0014571,0.00146221
0.20366304,0.0014426,0.0014419,0.00143865,0.0014567,0.0014377,0.00144993,0.00143556,0.00143682,0.00145336,0.00144931
0.20782055,0.00143303,0.00143186,0.00142865,0.00143719,0.00143562,0.00144661,0.00142815,0.001437,0.0014359,0.00144096
0.21185835,0.00140243,0.00140057,0.00140521,0.00141476,0.00140224,0.00141521,0.00140047,0.00139809,0.00141284,0.00140623
0.21604554,0.00133757,0.0013383,0.00134008,0.00134729,0.00133389,0.00135202,0.00133564,0.00133489,0.00134043,0.00134456
0.22049345,0.0013168,0.00131997,0.00131261,0.00132626,0.00132005,0.0013322,0.00131585,0.00131824,0.00132163,0.00132183
0.22500304,0.00130776,0.00131177,0.00131048,0.00131987,0.00130957,0.00132052,0.00130535,0.00131287,0.00131235,0.00131895
0.22948517,0.00128784,0.00129206,0.00128915,0.00129774,0.00129527,0.0013056,0.00128641,0.0012968,0.00129586,0.00129569
0.2339564,0.0012573,0.00126212,0.00125838,0.00126843,0.00125651,0.0012712,0.00125637,0.00125437,0.00126063,0.00126394
0.23854143,0.00121336,0.00121875,0.00121317,0.00122729,0.0012136,0.00122534,0.0012128,0.00121622,0.00121799,0.00122109
0.24336486,0.00119616,0.00119555,0.00119593,0.00120445,0.00119649,0.00120765,0.00119399,0.00119822,0.00119859,0.00120002
0.24824045,0.00117141,0.00117263,0.00117313,0.00117868,0.00117039,0.00118414,0.00116706,0.00117689,0.00117147,0.00117961
0.25322799,0.00115003,0.00115457,0.00115108,0.00115819,0.00114808,0.00115933,0.00114655,0.00115129,0.00115224,0.00115638
0.25831915,0.00113065,0.00113246,0.00113059,0.00113865,0.00112994,0.00114184,0.00112502,0.0011269,0.00113207,0.00113221
0.26342702,0.00111332,0.00111304,0.00111022,0.00112001,0.00110932,0.00112462,0.00110845,0.00111235,0.00111041,0.00111639
0.26862376,0.00107719,0.00107875,0.00107753,0.00108827,0.0010794,0.00109035,0.00107592,0.00107873,0.00108192,0.00108767
0.27394112,0.00106366,0.00106907,0.00106743,0.001075,0.00106235,0.00107696,0.00106383,0.00106556,0.00107252,0.00107119
0.27942287,0.00103917,0.00104185,0.0010445,0.00104851,0.00104136,0.00104627,0.00104012,0.00104303,0.00104214,0.00104437
0.28490602,0.00102111,0.00102186,0.00102031,0.00102971,0.00102133,0.00103326,0.00101793,0.0010211,0.00102495,0.00102849
0.29044932,0.00099962,0.00099858,0.0009992,0.00100501,0.00099459,0.00100488,0.00099683,0.00100351,0.00100244,0.00100147
0.29619826,0.00097767,0.00098151,0.00098001,0.0009884,0.00097799,0.00098999,0.0009785,0.00098088,0.00098192,0.00098426
0.30202933,0.0009729,0.00097299,0.00097004,0.00097846,0.00097316,0.00097998,0.0009715,0.000973,0.00097867,0.00097552
0.30795967,0.0009584,0.0009606,0.00096124,0.00096933,0.00096198,0.00097065,0.00095818,0.00096329,0.0009659,0.0009647
0.31403499,0.00095414,0.00095626,0.00095497,0.00096273,0.00095546,0.00096393,0.00095384,0.00095418,0.00095625,0.00095956
0.32013521,0.00093701,0.00093728,0.00093261,0.00094306,0.00093335,0.00094417,0.00093448,0.00093261,0.00093633,0.00094121
0.32635762,0.00092648,0.00092994,0.00092949,0.00093506,0.00093106,0.00093668,0.00092495,0.00092943,0.00093084,0.00093221
0.33279709,0.00093836,0.00094098,0.00093495,0.00094446,0.00093746,0.00094941,0.00093359,0.00093911,0.00094129,0.00094185
0.33936317,0.00092948,0.00092987,0.00093124,0.00093852,0.0009309,0.00093741,0.00092715,0.00092918,0.00093197,0.0009337
0.34602433,0.00091672,0.00091772,0.0009137,0.00092022,0.00091232,0.00092181,0.00091284,0.00091374,0.00091985,0.00091849
0.35276173,0.00092718,0.00092497,0.00092517,0.00093335,0.00092366,0.0009334,0.00092214,0.00092558,0.00092423,0.0009296
0.35959621,0.0009325,0.00093582,0.00093514,0.00094255,0.00093279,0.00094425,0.00093293,0.00093275,0.00093891,0.0009409
0.36663574,0.00094582,0.0009475,0.00094499,0.00095406,0.00094691,0.00095403,0.00094133,0.00094611,0.00094967,0.00095172
0.37384813,0.00095292,0.0009561,0.00095241,0.00096237,0.00094965,0.0009618,0.00095054,0.00095344,0.00095694,0.00095967
0.38104941,0.00099915,0.00100029,0.00100045,0.0010102,0.00100122,0.00101301,0.00100054,0.00100149,0.00100336,0.0010064
0.38845275,0.0010779,0.00107823,0.00107528,0.00108411,0.00107746,0.00109112,0.0010722,0.00107807,0.00108076,0.00108427
0.39548162,0.00123682,0.00123667,0.00123331,0.00124345,0.00123258,0.0012433,0.00123316,0.00123313,0.00124039,0.00124095
